Data_Center,City,Region,Launch_Year,Compute_Power_MW,GPU_Capacity_TFLOPS,AI_Workload_Share_%,Agentic_Integration_Score,Redundancy_Tier,Energy_Source,Resilience_Index,Company,Facility_Type,Power_Efficiency_Score,AI_Readiness_Score,Years_Until_Launch,Is_Operational,Redundancy_Tier_Numeric,Infrastructure_Risk_Score,Digital_Exposure_Score
Blue Origin Data Grid,Dallas,North TX,2030,657.3,6727,42,32,Tier II,Solar,2,Blue Origin,Data Grid,10.23,37,5,FALSE,2,122.4,112.7
Google AI Core,College Station,Central TX,2024,215.4,1957.18,73,24,Tier IV,Solar,3,Google AI,AI Core,9.09,48.5,-1,TRUE,4,63.1,52.2
Nvidia Orbital Node,Fort Worth,North TX,2020,643,6732.61,66,17,Tier III,Solar,5,Nvidia Orbital,Orbital Node,10.47,41.5,-5,TRUE,3,40.2,119.3
Blue Origin Compute Hub,College Station,Central TX,2028,209.5,2015.79,75,19,Tier IV,Hybrid,4,Blue Origin,Compute Hub,9.62,47,3,FALSE,4,42.5,53.1
Tesla Compute Hub,Odessa,West TX,2030,1165,1879.67,69,20,Tier I,Grid,4,Tesla Compute,Compute Hub,1.61,44.5,5,FALSE,1,89.3,97.7
Nvidia Quantum Facility,El Paso,West TX,2025,736.4,6358.41,49,33,Tier IV,Solar,4,Nvidia Quantum,Quantum Facility,8.63,41,0,TRUE,4,50.3,115.1
SpaceX AI Core,McKinney,North TX,2026,948.9,1675.67,95,68,Tier II,Grid,1,SpaceX AI,AI Core,1.77,81.5,1,FALSE,2,126.5,92.7
AWS Quantum Facility,Austin,Central TX,2024,706.7,4412.52,82,50,Tier III,Hybrid,2,AWS Quantum,Quantum Facility,6.24,66,-1,TRUE,3,95.4,104.1
Nvidia AI Core,Abilene,West TX,2023,1070.9,3325.7,54,76,Tier IV,Solar,4,Nvidia AI,AI Core,3.11,65,-2,TRUE,4,48.8,103
Lockheed Martin AI Core,Corpus Christi,South TX,2027,629,2751.68,82,30,Tier II,Hybrid,1,Lockheed Martin,AI Core,4.37,56,2,FALSE,2,130.4,83.6
IBM Cloud Zone,Midland,West TX,2027,848.8,4121.14,94,11,Tier I,Solar,3,IBM Cloud,Cloud Zone,4.86,52.5,2,FALSE,1,101.8,111.9
AWS Quantum Facility,Frisco,North TX,2025,795.1,1820.5,44,63,Tier I,Solar,4,AWS Quantum,Quantum Facility,2.29,53.5,0,TRUE,1,96.8,71.2
