Year,Quarter,City,Region,Sector,Subsector,Company,Metric_Type,Metric_Value,Unit,Growth_Rate_YoY,Data_Center_Count,Data_Center_Capacity_MW,GDP_Contribution_Millions,AI_Employment,VC_Funding_Millions,Renewable_Energy_Percent,Grid_Utilization_Percent,Notes
2023,Q1,Austin,Central Texas,AI Industry,AI Training,OpenAI,Data Center Capacity,85,MW,15.2,2,85,1250,3400,125,45,72,Expansion phase
2023,Q1,Austin,Central Texas,Data Centers,Hyperscale,Oracle,Data Center Capacity,120,MW,22.5,3,120,890,1200,0,38,68,Cloud infrastructure
2023,Q1,Austin,Central Texas,Renewables,Solar,Tesla Energy,Renewable Generation,450,MW,18.3,0,0,340,580,85,100,0,Solar farm operations
2023,Q1,Dallas,North Texas,AI Industry,AI Infrastructure,Microsoft,Data Center Capacity,95,MW,12.8,2,95,2100,4800,210,42,81,Azure expansion
2023,Q1,Dallas,North Texas,Financial Tech,AI Trading,Multiple Players,AI Employment,0,Count,25.4,0,0,1850,2900,340,35,0,Fintech AI adoption
2023,Q1,San Antonio,South Texas,Data Centers,Enterprise,Microsoft,Data Center Capacity,45,MW,8.5,1,45,650,890,45,52,65,Military tech focus
2023,Q1,Panhandle,West Texas,Renewables,Wind,Multiple Operators,Renewable Generation,2800,MW,14.2,0,0,580,420,0,100,0,Wind farm concentration
2023,Q1,South Padre Island,Coastal Texas,Energy Sectors,Rocket Fuel Production,SpaceX,Industrial Capacity,25,MW,35.8,0,25,180,650,450,28,58,Starbase operations
2023,Q1,Houston,Gulf Coast,Energy Sectors,Energy Tech,Multiple Players,GDP Contribution,0,MW,11.2,0,0,8500,5600,680,32,0,Oil & gas AI integration
2023,Q2,Austin,Central Texas,AI Industry,AI Training,OpenAI,Data Center Capacity,92,MW,18.7,2,92,1420,3850,156,48,74,Q2 scaling
2023,Q2,Austin,Central Texas,Data Centers,Hyperscale,Oracle,Data Center Capacity,135,MW,25.1,3,135,1050,1340,0,41,70,Database expansion
2023,Q2,Austin,Central Texas,Financial Tech,Payment Processing,Multiple Players,AI Employment,0,Count,22.8,0,0,890,1850,125,0,0,AI fraud detection
2023,Q2,Dallas,North Texas,AI Industry,AI Infrastructure,Microsoft,Data Center Capacity,110,MW,16.2,2,110,2380,5200,245,45,79,Continued growth
2023,Q2,Dallas,North Texas,Data Centers,Colocation,Multiple Operators,Data Center Capacity,88,MW,19.5,4,88,720,980,0,38,76,Colo market expansion
2023,Q2,San Antonio,South Texas,AI Industry,Defense AI,Multiple Players,AI Employment,0,Count,15.8,0,0,580,1150,89,0,0,Military AI contracts
2023,Q2,Panhandle,West Texas,Renewables,Wind,Multiple Operators,Renewable Generation,2950,MW,15.8,0,0,620,445,0,100,0,Seasonal peak
