Company,Location,Sector,Facility_Type,Investment_BillionUSD,Energy_Capacity_MW,AI_Integration_Level,Launches_or_Projects,Key_Tech_Focus,Renewable_Energy_Percent,
SpaceX,Boca Chica,Space Infrastructure,Launch Facility,14.8,240,5,27,Starship + Starlink AI Ops,35,
Blue Origin,Van Horn,Space Infrastructure,Test/Launch Site,6.2,115,3,11,Reusable Engine R&D,42,
Tesla Energy,Austin,Renewable Energy,Gigafactory Power Grid,8.5,320,4,9,AI-driven Energy Optimization,58,
Nvidia,Austin,AI Hardware,Research + Edge Compute Hub,5.7,180,5,6,GPU + Edge AI for Space Systems,45,
Lockheed Martin,Fort Worth,Aerospace,Manufacturing + Simulation,9.3,150,4,12,AI-Enhanced Avionics,41,
NASA JSC,Houston,Government,Space Command Center,10.1,200,3,18,Human/AI Mission Simulation,36,
Oracle,Austin,Data Infrastructure,Cloud + Simulation Cluster,3.8,120,4,4,Space Analytics Cloud,47,
Dell Technologies,Round Rock,Data Infrastructure,Edge Compute Center,2.9,105,3,5,AI/ML Simulation Nodes,40,
Amazon Kuiper,San Marcos,Satellite Network,Manufacturing + Uplink,4.4,135,4,10,Low-Earth Orbit Internet,52,
Microsoft Azure Space,San Antonio,Cloud + Space Data,Data Relay Hub,6,160,5,8,Space AI Cloud Platform,49,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,, 
